"lineRef","stopPointRef","stopPointName","aimedDepartureTime","departureTime","aimedArrivalTime","arrivalTime","dayOfTheWeek"
"SKY:Line:18","NSR:Quay:53118",,"{""value"":""2025-01-30T13:52:00.000Z""}","{""value"":""2025-01-30T13:54:27.000Z""}","{""value"":""2025-01-30T13:52:00.000Z""}","{""value"":""2025-01-30T13:53:35.000Z""}",4
"SKY:Line:19","NSR:Quay:53117",,"{""value"":""2025-01-30T13:53:00.000Z""}","{""value"":""2025-01-30T13:54:41.000Z""}","{""value"":""2025-01-30T13:53:00.000Z""}","{""value"":""2025-01-30T13:54:13.000Z""}",4
"SKY:Line:3","NSR:Quay:53115",,"{""value"":""2025-01-30T13:54:00.000Z""}","{""value"":""2025-01-30T13:55:52.000Z""}","{""value"":""2025-01-30T13:54:00.000Z""}","{""value"":""2025-01-30T13:55:10.000Z""}",4
"SKY:Line:10","NSR:Quay:53117",,"{""value"":""2025-01-30T13:55:00.000Z""}","{""value"":""2025-01-30T13:56:14.000Z""}","{""value"":""2025-01-30T13:55:00.000Z""}","{""value"":""2025-01-30T13:55:08.000Z""}",4
"SKY:Line:6","NSR:Quay:53117",,"{""value"":""2025-01-30T13:56:00.000Z""}","{""value"":""2025-01-30T14:03:46.000Z""}","{""value"":""2025-01-30T13:56:00.000Z""}","{""value"":""2025-01-30T14:03:01.000Z""}",4
"SKY:Line:4","NSR:Quay:53118",,"{""value"":""2025-01-30T13:56:00.000Z""}","{""value"":""2025-01-30T13:59:29.000Z""}","{""value"":""2025-01-30T13:56:00.000Z""}",,4
"SKY:Line:15","NSR:Quay:53118",,"{""value"":""2025-01-30T13:57:00.000Z""}","{""value"":""2025-01-30T13:57:21.000Z""}",,,4
"SKY:Line:40","NSR:Quay:53119",,"{""value"":""2025-01-30T13:57:00.000Z""}","{""value"":""2025-01-30T13:59:28.000Z""}","{""value"":""2025-01-30T13:57:00.000Z""}","{""value"":""2025-01-30T13:58:44.000Z""}",4
"SKY:Line:12","NSR:Quay:53117",,"{""value"":""2025-01-30T13:58:00.000Z""}","{""value"":""2025-01-30T13:59:56.000Z""}","{""value"":""2025-01-30T13:58:00.000Z""}","{""value"":""2025-01-30T13:58:54.000Z""}",4
"SKY:Line:3E","NSR:Quay:53115",,"{""value"":""2025-01-30T13:59:00.000Z""}","{""value"":""2025-01-30T14:01:50.000Z""}","{""value"":""2025-01-30T13:59:00.000Z""}","{""value"":""2025-01-30T14:01:18.000Z""}",4
"SKY:Line:50E","NSR:Quay:53118",,"{""value"":""2025-01-30T14:00:00.000Z""}","{""value"":""2025-01-30T14:00:30.000Z""}","{""value"":""2025-01-30T14:00:00.000Z""}","{""value"":""2025-01-30T13:59:51.000Z""}",4
"SKY:Line:5","NSR:Quay:53118",,"{""value"":""2025-01-30T14:01:00.000Z""}","{""value"":""2025-01-30T14:06:24.000Z""}","{""value"":""2025-01-30T14:01:00.000Z""}","{""value"":""2025-01-30T14:06:05.000Z""}",4
"SKY:Line:39","NSR:Quay:53119",,"{""value"":""2025-01-30T14:03:00.000Z""}","{""value"":""2025-01-30T14:04:45.000Z""}","{""value"":""2025-01-30T14:03:00.000Z""}","{""value"":""2025-01-30T14:04:29.000Z""}",4
"SKY:Line:19","NSR:Quay:53117",,"{""value"":""2025-01-30T14:03:00.000Z""}","{""value"":""2025-01-30T14:03:36.000Z""}","{""value"":""2025-01-30T14:03:00.000Z""}","{""value"":""2025-01-30T14:02:52.000Z""}",4
